,CarName,Owner,YearofPurchase,Transmission,Model,Distance,Fuel,Price,website,Product_url
499,Hyundai Santro Xing (2012),1st,2014,MANUAL,GLS,69310.0 KM,CNG & HYBRIDS,"₹ 2,27,000",olx.in,https://www.olx.in/item/hyundai-santro-xing-gls-2012-cng-hybrids-iid-1643899836
500,Toyota Fortuner (2012),1st,2017,MANUAL,Others,"130,000 KM",DIESEL,"₹ 14,25,000",olx.in,https://www.olx.in/item/for-sale-car-iid-1656256364
501,Maruti Suzuki Wagon R (2013),2nd,2010,MANUAL,VXI,63000.0 KM,PETROL,"₹ 3,50,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-vxi-2013-petrol-iid-1656244534
502,Skoda Laura (2013),2nd,2017,MANUAL,1.9 TDI MT Ambiente,82000.0 KM,DIESEL,"₹ 4,35,111",olx.in,https://www.olx.in/item/skoda-laura-19-tdi-mt-ambiente-2013-diesel-iid-1652303121
503,Maruti Suzuki Wagon R (2019),First,2014,MANUAL,CNG LXI,120000 KM,PETROL,"₹ 3,50,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-2019-petrol-iid-1656577727
504,Renault Duster (2013),First,2012,MANUAL,2012-2015 85PS Diesel RxL Optional,37362 KM,DIESEL,"₹ 5,80,000",olx.in,https://www.olx.in/item/renault-duster-2013-37500-km-driven-iid-1651710689
505,Hyundai I10 (2009),2nd,2015,MANUAL,2007-2010 Magna 1.1,133605.0 KM,PETROL,"₹ 1,30,000",olx.in,https://www.olx.in/item/hyundai-i10-2007-2010-magna-11-2009-petrol-iid-1655873178
506,Hyundai Elite I20 (2018),1st,2020,MANUAL,Sportz Plus,50000.0 KM,PETROL,"₹ 5,90,000",olx.in,https://www.olx.in/item/hyundai-elite-i20-sportz-plus-2018-petrol-iid-1655614657
507,Hyundai I10 (2012),2nd,2015,MANUAL,Sportz,53000.0 KM,PETROL,"₹ 2,70,000",olx.in,https://www.olx.in/item/hyundai-i10-sportz-2012-petrol-iid-1655614025
508,Maruti Suzuki Swift (2019),1st,2017,MANUAL,LXI,13000.0 KM,PETROL,"₹ 5,10,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-lxi-2019-petrol-iid-1655419797
509,Ford Ecosport (2016),1st,2011,MANUAL,1.5 Diesel Titanium,73000.0 KM,DIESEL,"₹ 5,25,000",olx.in,https://www.olx.in/item/ford-ecosport-15-diesel-titanium-2016-diesel-iid-1655408539
510,Mahindra Xuv500 (2016),1st,2019,MANUAL,W6 2WD,34000.0 KM,DIESEL,"₹ 9,75,000",olx.in,https://www.olx.in/item/mahindra-xuv500-w6-2wd-2016-diesel-iid-1655404767
511,Maruti Suzuki Swift (2014),1st,2009,MANUAL,2011-2014 VXI,53000.0 KM,PETROL,"₹ 4,17,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-2011-2014-vxi-2014-petrol-iid-1655205470
512,Hyundai Creta (2017),2nd,2013,MANUAL,1.6 E Plus,35000.0 KM,PETROL,"₹ 8,25,000",olx.in,https://www.olx.in/item/hyundai-creta-16-e-plus-2017-petrol-iid-1655081331
513,Hyundai Santro Xing (2014),1st,2014,MANUAL,GLS,58372.0 KM,PETROL,"₹ 3,25,000",olx.in,https://www.olx.in/item/hyundai-santro-xing-gls-2014-petrol-iid-1651942693
514,Maruti Suzuki Wagon R 1.0 (2017),1st,2011,MANUAL,1.0 LXi LPG,55000.0 KM,PETROL,"₹ 4,50,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-10-lxi-lpg-2017-petrol-iid-1650803649
515,Hyundai I10 (2010),1st,2016,MANUAL,Magna,55000.0 KM,PETROL,"₹ 2,95,000",olx.in,https://www.olx.in/item/hyundai-i10-magna-2010-petrol-iid-1650767501
516,Maruti Suzuki Vitara Brezza (2017),2nd,2015,MANUAL,ZDi,59000.0 KM,DIESEL,"₹ 6,90,000",olx.in,https://www.olx.in/item/maruti-suzuki-vitara-brezza-zdi-2017-diesel-iid-1644719464
517,Mahindra Bolero (2014),1st,2019,MANUAL,SLE BS IV,72000.0 KM,DIESEL,"₹ 4,49,000",olx.in,https://www.olx.in/item/mahindra-bolero-sle-bs-iv-2014-diesel-iid-1642285106
518,Maruti Suzuki Ritz (2012),1st,2020,MANUAL,VDi,87464.0 KM,DIESEL,"₹ 3,30,000",olx.in,https://www.olx.in/item/maruti-suzuki-ritz-vdi-2012-diesel-iid-1637879792
519,Fiat Linea (2015),1st,2010,MANUAL,,38000.0 KM,PETROL,"₹ 4,90,000",olx.in,https://www.olx.in/item/fiat-linea-2015-petrol-iid-1634220135
520,Toyota Fortuner (2020),1st,2005,MANUAL,3.0 4x2 Automatic,15000.0 KM,DIESEL,"₹ 38,00,000",olx.in,https://www.olx.in/item/toyota-fortuner-30-4x2-automatic-2020-diesel-iid-1650207126
521,Mahindra Xuv500 (2015),1st,2017,MANUAL,W10 2WD,37000.0 KM,DIESEL,"₹ 11,75,000",olx.in,https://www.olx.in/item/mahindra-xuv500-w10-2wd-2015-diesel-iid-1653410200
522,Chevrolet Sail (2017),First,2012,MANUAL,1.2 Base,999999 KM,CNG,"₹ 1,70,000",olx.in,https://www.olx.in/item/chevrolet-sail-2017-cng-hybrids-iid-1656573203
523,Tata Safari (2011),First,2011,MANUAL,4x2 GX DICOR BS-III,70000 KM,DIESEL,"₹ 5,00,000",olx.in,https://www.olx.in/item/tata-safari-2011-diesel-iid-1656564457
524,Maruti Suzuki Swift Dzire Tour (2019),1st,2009,MANUAL,LDI,38000.0 KM,DIESEL,"₹ 5,95,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-dzire-tour-ldi-2019-diesel-iid-1655874319
525,Maruti Suzuki Wagon R (2009),2nd,2012,MANUAL,VXI,103388.0 KM,PETROL,"₹ 1,85,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-vxi-2009-petrol-iid-1655083079
526,Hyundai I10 (2013),1st,2011,MANUAL,Magna,72000.0 KM,PETROL,"₹ 2,65,000",olx.in,https://www.olx.in/item/hyundai-i10-magna-2013-petrol-iid-1655082661
527,Honda City (2014),1st,2016,MANUAL,2014-2015 i DTEC VX Option,80000.0 KM,DIESEL,"₹ 5,25,000",olx.in,https://www.olx.in/item/honda-city-2014-2015-i-dtec-vx-option-2014-diesel-iid-1655082184
528,Mercedes-Benz E-Class (2011),2nd,2016,MANUAL,E350 CDI Avantgarde,70000.0 KM,DIESEL,"₹ 9,61,000",olx.in,https://www.olx.in/item/mercedes-benz-e-class-e350-cdi-avantgarde-2011-diesel-iid-1654293907
529,Toyota Innova (2016),1st,2015,MANUAL,Others,59000.0 KM,DIESEL,"₹ 11,80,000",olx.in,https://www.olx.in/item/toyota-innova-others-2016-diesel-iid-1655873870
530,Volkswagen Polo (2015),1st,2010,MANUAL,1.2 MPI Comfortline,78000.0 KM,DIESEL,"₹ 4,95,000",olx.in,https://www.olx.in/item/volkswagen-polo-12-mpi-comfortline-2015-diesel-iid-1655873303
531,Maruti Suzuki Swift Dzire Tour (2019),2nd,2014,MANUAL,LDI,65000.0 KM,DIESEL,"₹ 5,10,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-dzire-tour-ldi-2019-diesel-iid-1654294566
